Name of Initiative,Organization Name,Notes,Location 1,Street Address,City,State,State Based,Episodes,Facebook,Twitter,Youtube,Website
Advance Payment ACO Model,Lower Shore ACO LLC,,"National Harbor, MD
(38.7826, -77.0151)",,National Harbor,MD,,,,,,
Advance Payment ACO Model,"Physicians ACO, LLC","Operating in counties of Brazoria, Fort Bend, Harris, and Montgomery","11720 Katy Freeway
Houston, TX
(29.785296331287157, -95.59166090900641)",11720 Katy Freeway,Houston,TX,,,,,,
Advance Payment ACO Model,"PriMed, LLC",Operating in counties of Fairfield and New Haven,"3 Enterprise Dr
Shelton, CT
(41.27683322168258, -73.1256703154022)",3 Enterprise Dr.,Shelton,CT,,,,,,
Advance Payment ACO Model,Northeast Florida Accountable Care,,"Jacksonville, FL
(30.324049, -81.644897)",,Jacksonville,FL,,,,,,
Advance Payment ACO Model,"Quality Independent Physicians, LLC","Operating in Indiana counties of Clark and Scott. Kentucky counties of Clark, Fayette, Jefferson, Oldham, and Woodford","2301 River Road
Louisville, KY
(38.271804976057965, -85.70856859757824)",2301 River Road,Louisville,KY,,,,,,
Advance Payment ACO Model,Reliance Healthcare Management Solutions,,"Tampa, FL
(27.946530000059624, -82.45927000001035)",,Tampa,FL,,,,,,
Advance Payment ACO Model,"Coastal Carolina Quality Care, Inc.","Operating in counties of Beaufort, Carteret, Craven, Jones, Onslow, and Pamlico    ","1020 Medical Park Avenue
New Bern, NC
(35.10511727275571, -77.09257113639016)",1020 Medical Park Avenue,New Bern,NC,,,,,,
Advance Payment ACO Model,"American Health Network of Ohio Care Organization, LLC",,"Indianapolis, IN
(39.7683, -86.1581)",,Indianapolis,IN,,,,,,
Advance Payment ACO Model,Maryland Accountable Care Organization of Western Maryland,,"National Harbor, MD
",,National Harbor,MD,,,,,,
Advance Payment ACO Model,"RGV ACO Health Providers, LLC",,"Donna, TX
(26.171739999801332, -98.04254999998238)",,Donna,TX,,,,,,
Advance Payment ACO Model,Central Florida Physicians Trust,,"Winter Park, FL
(28.5997, -81.3394)",,Winter Park,FL,,,,,,
Advance Payment ACO Model,Owensboro ACO LLC,,"Owensboro, KY
(37.7742, -87.1133)",,Owensboro,KY,,,,,,
Advance Payment ACO Model,American Health Alliance,,"Ocala, FL
(29.1869, -82.1403)",,Ocala,FL,,,,,,
Advance Payment ACO Model,"MPS ACO Physicians, LLC","Operating in counties of Fairfield, Hartford, Litchfield, Middlesex, and New Haven","31 Cresent Street
Middletown, CT
(41.55494338294992, -72.64760646469716)",31 Cresent Street,Middletown,CT,,,,,,
Advance Payment ACO Model,"Cumberland Center for Healthcare Innovation, LLC","Operating in counties of Cannon, Clay, Coffee, Cumberland, DeKalb, Fentress, Jackson, Macon, Overton, Putnam, Smith, Trousdale, Van Buren, Warren, and White","3300 Williams Enterprise Drive
Nashville, TN
(36.16783999961643, -86.7781600000838)",3300 Williams Enterprise Drive,Nashville,TN,,,,,,
Advance Payment ACO Model,"Coastal Medical, Inc","Operating in counties of Bristol, Kent, Newport, Providence, and Washington","10 Davol Square
Providence, RI
(41.81645530589073, -71.40657417748653)",10 Davol Square,Providence,RI,,,,,,
Advance Payment ACO Model,North Country ACO,"Operating in counties of Belknap, Coos, Grafton, and Merrimack","262 Cottage Street
Littleton, NH
(44.29934546233425, -71.76867696535093)",262 Cottage Street,Littleton,NH,,,,,,
Advance Payment ACO Model,"Accountable Care Partners ACO, LLC",,"Jacksonville, FL
(30.331470000440333, -81.65622000035256)",,Jacksonville,FL,,,,,,
Advance Payment ACO Model,"Maryland Accountable Care Organization of Eastern Shore, LLC",,"Easton, MD
(38.77389999958547, -76.07475000001233)",,Easton,MD,,,,,,
Advance Payment ACO Model,"Jackson Purchase Medical Associates, PSC ","Operating in Kentucky counties of Ballard, Callaway, Carlisle, Fulton, Graves, Hickman, Livingston, Lyon, Marshall, and McCracken; Illinois counties of Hardin, Massac, and Pope","225 Medical Center Drive
Paducah, KY
(37.05351459916848, -88.64357570054979)",225 Medical Center Drive,Paducah,KY,,,,,,
Advance Payment ACO Model,"SERPA-ACO, LLC",,"Crete, NE
(40.6278, -96.9611)",,Crete,NE,,,,,,
Advance Payment ACO Model,"Texoma ACO, LLC",Operating in Wichita County,"4601 Jacksboro Hwy
Wichita Falls, TX
(33.90830000034492, -98.50098999978849)",4601 Jacksboro Hwy.,Wichita Falls,TX,,,,,,
Advance Payment ACO Model,Fort Smith Physicians Alliance ACO,,"Fort Smith, AR
(35.3858, -94.3983)",,Fort Smith,AR,,,,,,
Advance Payment ACO Model,"St. Thomas Medical Group, PLLC",,"Nashville, TN
(36.16783999961643, -86.7781600000838)",,Nashville,TN,,,,,,
Advance Payment ACO Model,Rio Grande Valley Health Alliance,,"McAllen, TX
(26.2031, -98.2297)",,McAllen,TX,,,,,,
Advance Payment ACO Model,"NOMS ACO, LLC",,"Sandusky, OH
(41.440671, -82.717866)",,Sandusky,OH,,,,,,
Advance Payment ACO Model,"Primary Partners, LLC","Operating in counties of Lake, Orange, Osceola, and Polk","3115 Citrus Tower Boulevard
Clermont, FL
(28.52159309400588, -81.72737216952784)",3115 Citrus Tower Boulevard,Clermont,FL,,,,,,
Advance Payment ACO Model,Golden Life Healthcare LLC,"Operating in counties of Butte, Colusa, El Dorado, Nevada, Placer, Sacramento, Shasta, Sutter, and Yolo   ","1337 Howe Ave
Sacramento, CA
(38.58982880874538, -121.41553828929388)",1337 Howe Ave.,Sacramento,CA,,,,,,
Advance Payment ACO Model,"KCMPA-ACO, LLC",,"Kansas City, MO
(39.0997, -94.5783)",,Kansas City,MO,,,,,,
Advance Payment ACO Model,Harbor Medical Associates PC,Operating in counties of Norfolk and Plymouth ,"541 Main Street
Weymouth, MA
(42.18849394922455, -70.95561525192159)",541 Main Street,South Weymouth,MA,,,,,,
Advance Payment ACO Model,Medical Mall Services of Mississippi,"Operating in counties of Coahoma, Hinds, Madison, and Rankin","350 Woodrow Wilson Avenue
Jackson, MS
(32.32689729795277, -90.19436176372187)",350 W. Woodrow Wilson Avenue,Jackson,MS,,,,,,
Advance Payment ACO Model,National ACO,,"Beverly Hills, CA
(34.073764, -118.400592)",,Beverly Hills,CA,,,,,,
Advance Payment ACO Model,"Nature Coast ACO, LLC",,"Beverly Hills, FL
(28.917, -82.4561)",,Beverly Hills,FL,,,,,,
Advance Payment ACO Model,Physicians Collaborative Trust ACO LLC,,"Maitland, FL
(28.6275, -81.3633)",,Maitland,FL,,,,,,
Advance Payment ACO Model,Primary Partners ACIP LLC,,"Clermont, FL
(28.5475, -81.7494)",,Clermont,FL,,,,,,
BPCI Initiative: Model 1,JFK Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"65 James Street
Edison, NJ
(40.55779495095254, -74.34987769417492)",65 James Street,Edison,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Robert Wood Johnson University Hospital Rahway,Convening Organization: New Jersey Hospital Association (NJHA),"865 Stone Street
Rahway, NJ
(40.6120453844037, -74.2902923433457)",865 Stone Street,Rahway,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,Saint Clare's Hospital (Denville/Dover),Convening Organization: New Jersey Hospital Association (NJHA),"25 Pocono Road
Denville, NJ
(40.89438753550246, -74.46498564753722)",25 Pocono Road,Denville,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,University Medical Center of Princeton at Plainsboro,Convening Organization: New Jersey Hospital Association (NJHA),"253 Witherspoon Street
Princeton, NJ
(40.35673685350571, -74.6627465617803)",253 Witherspoon Street,Princeton,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Saint Michael's Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"111 Central Avenue
Newark, NJ
(40.743022644750965, -74.17434275410807)",111 Central Avenue,Newark,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,CentraState Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"901 West Main Street
Freehold, NJ
(40.236128776156306, -74.31130949917048)",901 West Main Street,Freehold,NJ,,All DRGs,,,,
BPCI Initiative: Model 1,"St. Joseph's Regional Medical Center, St. Joseph's Wayne Hospital",Convening Organization: New Jersey Hospital Association (NJHA),"703 Main Street
Paterson, NJ
(40.90270531470338, -74.16689524663126)",703 Main Street,Paterson,NJ ,,All DRGs,,,,
BPCI Initiative: Model 1,Cooper Hospital/University Medical Center,Convening Organization: New Jersey Hospital Association (NJHA),"3 Cooper Plaza
Camden, NJ
(39.94085897237152, -75.11574986944977)",3 Cooper Plaza,Camden,NJ ,,All DRGs,,,,
